SHOWTIME_ID|MOVIE_ID|START_TIME
0002aab|1|09-12-2022 12:22
0101aaa|1|12-11-2022 15:30
0102DSa|1|10-11-2022 09:00
0001aac|1|09-11-2022 18:00
0001aaa|1|09-11-2022 13:34
0201ads|1|09-11-2022 20:30
0202aaa|1|09-11-2022 20:30
0102WXx|2|12-11-2022 15:35
0102IpW|2|04-12-2022 23:50
0002aaz|3|17-12-2022 12:22
0101aaz|3|22-11-2022 15:30
0102DSz|3|20-11-2022 09:00
0001aaz|3|19-11-2022 18:00
0001aaz|4|19-11-2022 13:34
0201adz|4|18-11-2022 20:30
0202aaz|4|20-11-2022 20:30
0002azb|5|09-12-2022 12:22
0101aza|5|12-12-2022 11:30
0102Dza|6|10-11-2022 19:00
0001azc|6|23-11-2022 08:00
0001aza|7|24-11-2022 15:34
0201azs|7|25-11-2022 20:30
0202aza|7|27-11-2022 20:30
0102Wzx|8|12-11-2022 15:35
0102IpW|9|04-12-2022 23:50
0002ft2|10|11-12-2022 14:00
0202yya|11|21-11-2022 21:30
0102yyx|11|18-11-2022 13:35
0102yyW|11|15-12-2022 22:50
